,data,dtitulo,sentimento
0,02/10/2017,Petrobras anuncia US$ 63 bi em operações de pagamento renegociação e contratação de dívida Empresa pagou antecipadamente US$ 2666 bilhões em dívidas com vencimentos em 2018 e 2019 para os bancos BNP Paribas Bank of China e HSBC.,"Sentiment(polarity=0.18801652892561982, subjectivity=0.4661157024793388)"
1,02/10/2017,Ministro de Minas e Energia prevê que Petrobras será privatizada: É um caminho Fernando Coelho Filho afirmou no entanto que governo não pode tocar todas as agendas ao mesmo tempo. Ministro falou durante entrevista ao programa  Roda Viva.,"Sentiment(polarity=-0.041666666666666664, subjectivity=0.46458333333333335)"
2,03/10/2017,Não estamos tratando disso diz ministro sobre privatização da Petrobras Fernando Coelho Filho (Minas e Energia) previu em entrevista na segunda que privatização da Petrobras vai acontecer. Governo Temer já anunciou que  privatizará a Eletrobras.,"Sentiment(polarity=-0.01805555555555555, subjectivity=0.3111111111111111)"
3,04/10/2017,Comitê do setor elétrico pedirá que Petrobras forneça combustível para térmicas paradas Comitê destacou que a previsão é de chuvas abaixo da média nas áreas dos reservatórios das usinas hidrelétricas o que aumenta a necessidade de geração  de energia por termelétricas.,"Sentiment(polarity=0.065, subjectivity=0.4025)"
4,04/10/2017,Petrobras está perto de atingir meta de desalavancagem A companhia que tem reduzido trimestre a trimestre sua alavancagem (índice medido pela dívida líquida/Ebtida ajustado) havia projetado atingir um nível de 25 vezes em 2018 o que deve ser antecipado.,"Sentiment(polarity=0.0031249999999999993, subjectivity=0.290625)"
5,05/10/2017,Indústria naval deve recorrer de decisão da ANP que libera Petrobras para construir casco de Libra no exterior Agência reguladora flexibilizou regras de conteúdo local para o projeto de Libra maior reserva do pré-sal; Petrobras alega que com conteúdo nacional  projeto fica 40% mais caro.,"Sentiment(polarity=0.05366666666666666, subjectivity=0.3669999999999999)"
6,05/10/2017,Petrobras vai analisar pedido do governo por ajuda a térmicas mas sem subsídio O Comitê de Monitoramento do Setor Elétrico (CMSE) vai pedir a estatal para voltar a fornecer combustível para térmicas que estão paradas.,"Sentiment(polarity=0.06309523809523811, subjectivity=0.32817460317460323)"
7,05/10/2017,Petrobras vê como positiva flexibilização de conteúdo local em reserva do pré-sal Na véspera ANP flexibilizou as exigências para a construção do subsitema UEP do projeto Piloto de Libra uma das maiores reservas de pré-sal brasileiro.,"Sentiment(polarity=0.032137161084529506, subjectivity=0.19230462519936203)"
8,10/10/2017,Petrobras eleva preço do botijão de gás em 129% a partir desta quarta Estatal estima que preço ao consumidor final pode subir cerca de R$ 309 por botijão em média.,"Sentiment(polarity=-0.012045454545454547, subjectivity=0.4593939393939395)"
9,11/10/2017,Cade vê como complexa compra de ativos da Petrobras por mexicana e pede estudos Venda da Petroquímica Suape e da Citepe para os mexicanos da Petrotemex e sua subsidiária Dak Americas Exterior foi aprovada em 28 de dezembro pela  Petrobras por US$ 385 milhões.,"Sentiment(polarity=6.938893903907228e-18, subjectivity=0.22499999999999998)"
